date,forecast_qty_total,forecast_qty_total_lower,forecast_qty_total_upper,sku_id
2024-03-11,0.8231208996905721,0.8231208994970567,0.8231208998867545,SKU0017
2024-03-12,31.716647925982027,31.71664792565853,31.716657262887797,SKU0017
2024-03-13,34.42516774019468,34.42153463048263,34.42908599580879,SKU0017
2024-03-14,29.601824642157666,29.591683293924774,29.610481144599756,SKU0017
2024-03-15,-4.042721088626486,-4.060045664028395,-4.026949689081041,SKU0017
2024-03-16,10.671183091182947,10.644521093814847,10.69605345647276,SKU0017
2024-03-17,22.127521764339306,22.090275835899472,22.161062818337246,SKU0017
2024-03-18,0.17197548754534964,0.12566062271468373,0.21496220053426054,SKU0017
2024-03-19,31.06550251385985,31.00719385433688,31.11788210610385,SKU0017
2024-03-20,33.77402232803682,33.704166397319604,33.83940735504822,SKU0017
2024-03-21,28.950679230020903,28.872905941296295,29.03063563165126,SKU0017
2024-03-22,-4.693866500761505,-4.784366121944088,-4.597075274501104,SKU0017
2024-03-23,10.02003767902665,9.91679462162268,10.13421957688978,SKU0017
2024-03-24,21.476376352143923,21.36110913312791,21.605048604640338,SKU0017
2024-03-25,-0.47916992461074415,-0.6084999542815173,-0.33125327828367124,SKU0017
2024-03-26,30.414357101726445,30.269914332714418,30.57810440544548,SKU0017
2024-03-27,33.12287691589681,32.96174002209086,33.30944066190885,SKU0017
2024-03-28,28.299533817797375,28.123677917364386,28.50440883358319,SKU0017
2024-03-29,-5.345011912878363,-5.536454099347663,-5.118083796166433,SKU0017
2024-03-30,9.368892266814603,9.151858548054124,9.614904249823221,SKU0017
2024-03-31,20.82523093994854,20.58858659741878,21.09116077059755,SKU0017
2024-04-01,-1.1303153367287635,-1.3814787222027376,-0.847518748280002,SKU0017
2024-04-02,29.76321168950137,29.49051997256224,30.071577491129325,SKU0017
2024-04-03,32.47173150373136,32.180126964528654,32.80570445192492,SKU0017
2024-04-04,27.64838840566061,27.336004675665862,28.011709794325785,SKU0017
2024-04-05,-5.996157325013385,-6.3355243182134195,-5.613303711559084,SKU0017
2024-04-06,8.7177468547332,8.360998796956515,9.119249123499369,SKU0017
2024-04-07,20.17408552781054,19.789024810732602,20.597083184756087,SKU0017
